,restaurant,street,zip,city,country,lat,long
0,Starbucks,Am Bahnhof 40,57072,Siegen,Germany,50.87513,8.01625
1,Starbucks,Neue Promenade 3,10178,Berlin,Germany,52.52317,13.4023
2,Starbucks,Dircksenstrasse 2,10179,Berlin,Germany,52.52042,13.41338
3,Starbucks,Alexanderplatz 2,10178,Berlin,Germany,52.52128,13.41313
4,Starbucks,Grunerstrasse 20,10719,Berlin,Germany,52.52024,13.4147
5,Starbucks,Friedrichstrasse 96,10117,Berlin,Germany,52.51954,13.38849
6,Starbucks,Friedrichstrasse 61,10117,Berlin,Germany,52.51098,13.38986
7,Starbucks,Pariser Platz 4a,10117,Berlin,Germany,52.51681,13.37944
8,Starbucks,Am Ostbahnhof,10559,Berlin,Germany,52.51033,13.43248
9,Starbucks,Europaplatz 1,10557,Berlin,Germany,52.52584,13.36913
10,Starbucks,Warschauer Strasse,10243,Berlin,Germany,52.50908,13.45082
11,Starbucks,Hardenbergplatz 11,10623,Berlin,Germany,52.50798,13.33364
12,Starbucks,Hadenbergplatz 11,10623,Berlin,Germany,52.50798,13.33364
13,Starbucks,Kurfuerstendamm  231,10719,Berlin,Germany,52.50403,13.33262
14,Starbucks,Joachimsthaler Stra�e 1-4,10623,Berlin,Germany,52.50592,13.33198
15,Starbucks,Kurfuerstendamm 61,10707,Berlin,Germany,52.50065,13.31289
16,Starbucks,Melli-Beese-Ring 1 Terminal 1 Ebene E2 Abflug,12521,Berlin,Germany,52.44001,13.51193
17,McDonalds,Alexanderplatz 1,10178,Berlin,Germany,52.52115,13.4129
18,McDonalds,Europaplatz 1,10557,Berlin,Germany,52.52584,13.36913
19,McDonalds,Walther-Schreiber-Platz 1,12161,Berlin,Germany,52.4647,13.32815
20,McDonalds,Hansastra�e 1,13053,Berlin,Germany,52.54685,13.4685
21,McDonalds,Hanne-Sobek-Platz 1,13357,Berlin,Germany,52.54885,13.38799
22,McDonalds,Grunerstra�e 20,10179,Berlin,Germany,52.52024,13.4147
23,McDonalds,Osloer Stra�e,13359,Berlin,Germany,52.55619,13.37856
24,McDonalds,Schnellerstra�e 21,12439,Berlin,Germany,52.45658,13.50952
