club,id,createdAt,favorites,retweets,text
ChelseaFC,1600086828715069441,2022-12-06 11:16:42+00:00,1619,135,In tandem! 🚲  #AbuDhabiBlues https://t.co/q7oxSKqonc
ChelseaFC,1600075395864428544,2022-12-06 10:31:16+00:00,2182,174,Strong. 🏋️‍♂️  #AbuDhabiBlues https://t.co/c5LN96TBfy
ChelseaFC,1600056950154137600,2022-12-06 09:17:59+00:00,2948,290,Out here working in the heat! ☀️  #AbuDhabiBlues https://t.co/3spVaiV1y2
ChelseaFC,1599877412426108929,2022-12-05 21:24:34+00:00,14932,1244,Joga bonito! 🇧🇷  Thiago Silva’s through to the quarters. 👏 #FIFAWorldCup https://t.co/sXd26kQw6F
ChelseaFC,1599852278277672962,2022-12-05 19:44:41+00:00,16580,1334,What an assist from Thiago Silva btw. 👏
ChelseaFC,1599841284000256008,2022-12-05 19:01:00+00:00,6566,483,The ultimate upstaging! 💧  #AbuDhabiBlues https://t.co/vaUe6LARBV
ChelseaFC,1599829590209282048,2022-12-05 18:14:32+00:00,24484,1677,Training with a view! 😍  #AbuDhabiBlues https://t.co/4I7a9Eb1JD
ChelseaFC,1599822343278579712,2022-12-05 17:45:44+00:00,14062,1067,Our Croatian maestro into the last-eight! 😎  #FIFAWorldCup https://t.co/eGiIUMtc8N
ChelseaFC,1599744898495877121,2022-12-05 12:38:00+00:00,25802,1333,"Hey, hey, hey, @Wesley_Fofanaa! 😁  #AbuDhabiBlues https://t.co/fTfl9lGCSp"
ChelseaFC,1599735347524640769,2022-12-05 12:00:03+00:00,6728,447,Your 25 Blues flying the Chelsea flag: 📋  #AbuDhabiBlues
ChelseaFC,1599726038661369862,2022-12-05 11:23:03+00:00,10675,1126,"We're back, Abu Dhabi! 🛬  #AbuDhabiBlues https://t.co/sHJYgOu4zI"
ChelseaFC,1599519942272901120,2022-12-04 21:44:06+00:00,9443,588,Our Three Lions are quarter-final bound! 💪🏴󠁧󠁢󠁥󠁮󠁧󠁿  #FIFAWorldCup https://t.co/Wt23rnSi8n
ChelseaFC,1599512174925271040,2022-12-04 21:13:14+00:00,19402,954,"A great tournament, lads! 👏🇸🇳   #FIFAWorldCup https://t.co/nSbCOEbaO1"
ChelseaFC,1599472572810539008,2022-12-04 18:35:52+00:00,9859,553,Representing Senegal for Chelsea! 🔵  #FIFAWorldCup https://t.co/1KcZkhvu65
ChelseaFC,1599458166147756032,2022-12-04 17:38:37+00:00,8055,401,💙 https://t.co/y9tFMfYUeT
ChelseaFC,1599362193916452864,2022-12-04 11:17:16+00:00,10304,785,Chelsea showcasing to the world later! 💪  #FIFAWorldCup https://t.co/qB81L8n8Kw
ChelseaFC,1599089526911082496,2022-12-03 17:13:47+00:00,25434,1348,"Christian’s #FIFAWorldCup campaign comes to an end, but plenty to be proud of. 💙 https://t.co/lk4EQdaQ9h"
ChelseaFC,1599085629497016320,2022-12-03 16:58:18+00:00,15874,980,A big Chelsea win! 👏 https://t.co/NEH4k3yPqx
ChelseaFC,1599036262316265477,2022-12-03 13:42:08+00:00,9321,496,He's a man on a mission. 👊  #FIFAWorldCup https://t.co/Z7HuxQwW7H
ChelseaFC,1599015756762517504,2022-12-03 12:20:39+00:00,2982,169,"Go get it, Christian! 💪  #FIFAWorldCup https://t.co/dpQgXvwqUF"
ChelseaFC,1598802423795023872,2022-12-02 22:12:56+00:00,8428,440,Top of Group G: mission accomplished! 😤  #FIFAWorldCup https://t.co/GiKJwy3HvN
ChelseaFC,1598785226360164358,2022-12-02 21:04:36+00:00,12241,480,Heading through! 🇨🇭  #FIFAWorldCup https://t.co/EpYBjK0UoX
ChelseaFC,1598710834825265153,2022-12-02 16:09:00+00:00,10090,833,Your November GOTM and it's a beauty from Cesare Casadei! ☄️ https://t.co/3fLNjei62P
ChelseaFC,1598662876390121475,2022-12-02 12:58:26+00:00,10678,640,Looking to make it a 100% record! 👏  #FIFAWorldCup https://t.co/0MVEBcTuHy
ChelseaFC,1598455246736457728,2022-12-01 23:13:23+00:00,9329,541,An assist to his name and progressing. 🇪🇸  #FIFAWorldCup https://t.co/YZWih8dPb5
ChelseaFC,1598418076898304011,2022-12-01 20:45:41+00:00,16703,1337,Kai Havertz x2! 🇩🇪
ChelseaFC,1598365055489347592,2022-12-01 17:15:00+00:00,20594,1406,🔝 of the group! 😁  #FIFAWorldCup https://t.co/Do1GCuPsFq
ChelseaFC,1598360536076337152,2022-12-01 16:57:02+00:00,15100,976,This way to the last-16! 🫵  #FIFAWorldCup https://t.co/IHTWR7XYHo
ChelseaFC,1598336685414273026,2022-12-01 15:22:16+00:00,26976,1714,Centre stage! 🎭  #FIFAWorldCup https://t.co/AlFM6WD3sg
ChelseaFC,1598333272404250626,2022-12-01 15:08:42+00:00,34747,2108,HAKIM! 🇲🇦
ChelseaFC,1598283015683293186,2022-12-01 11:49:00+00:00,8345,458,Psyched up! 🇭🇷  #FIFAWorldCup https://t.co/TNLm3qY2y8
ChelseaFC,1598256680969670656,2022-12-01 10:04:21+00:00,2902,203,Plenty to choose from! 🗳  Which is your favourite?
ChelseaFC,1598057781684117504,2022-11-30 20:54:00+00:00,8747,615,A vocal session! 🎤 https://t.co/yRFuyA1YAs
ChelseaFC,1598041675414310917,2022-11-30 19:50:00+00:00,6034,404,"One for the cameras, Marc! 🙌 https://t.co/32ZNbOKOsp"
ChelseaFC,1598028840755990582,2022-11-30 18:59:00+00:00,16330,750,A wink or a squint? 😜 https://t.co/T77OBKUkm1
ChelseaFC,1597998897690968064,2022-11-30 17:00:01+00:00,13236,596,At ground level! 😎 https://t.co/vpKSqvVIuf
ChelseaFC,1597979264137056256,2022-11-30 15:42:00+00:00,28847,1413,Reporting for training! 🫡 https://t.co/8WQbwWM1dL
ChelseaFC,1597958115302916096,2022-11-30 14:17:57+00:00,6253,441,Peekaboo! 😁👋 https://t.co/dPn5HDaypW
ChelseaFC,1597927171774976000,2022-11-30 12:15:00+00:00,5193,357,Never get tired of watching it! 🚀  Is this your Goal of the Month for November?
ChelseaFC,1597888961761796096,2022-11-30 09:43:10+00:00,16714,1053,Chelsea. https://t.co/qJ4qDWsiAI
ChelseaFC,1597714119590805505,2022-11-29 22:08:24+00:00,4073,257,Onto the last-16! 🇺🇸  Read all about it on The 5th Stand! 🗞
ChelseaFC,1597709650987655173,2022-11-29 21:50:39+00:00,10959,629,Leading by example! 💪  #FIFAWorldCup https://t.co/qNuIl9op9M
ChelseaFC,1597706982370455553,2022-11-29 21:40:03+00:00,20911,1207,Christian Pulisic's goal sends USA through! 👏  #FIFAWorldCup https://t.co/iBf7nfwngl
ChelseaFC,1597697381939957761,2022-11-29 21:01:54+00:00,15384,1114,Qualified! 🏴󠁧󠁢󠁥󠁮󠁧󠁿  #FIFAWorldCup https://t.co/rc3za6rJAW
ChelseaFC,1597677282029883392,2022-11-29 19:42:02+00:00,28528,1744,"Yes, Christian! 💙🇺🇸"
ChelseaFC,1597664439792197636,2022-11-29 18:51:00+00:00,7236,566,Some love from Cobham! 💙  #FIFAWorldCup https://t.co/g14hDkDgSt
ChelseaFC,1597650095196905472,2022-11-29 17:54:00+00:00,17057,1044,"Let's go, Christian! 🇺🇸  #FIFAWorldCup https://t.co/DVY6oBbMjg"
ChelseaFC,1597639093806313473,2022-11-29 17:10:17+00:00,28130,2784,👏💙  #FIFAWorldCup https://t.co/zvkVoVtEsh
ChelseaFC,1597632511001387008,2022-11-29 16:44:07+00:00,22331,1856,A huge moment! 🇸🇳  #FIFAWorldCup https://t.co/qMsjtLoiyd
ChelseaFC,1597630853857030144,2022-11-29 16:37:32+00:00,16687,1086,"Great finish, Kalidou! 😎"
ChelseaFC,1597584470647111681,2022-11-29 13:33:14+00:00,10662,652,A decisive game approaching for these two! 🇸🇳  #FIFAWorldCup https://t.co/0QM1jC7Nhr
ChelseaFC,1597309268453384192,2022-11-28 19:19:40+00:00,42603,3375,Our #EmiratesFACup draw has been confirmed! 🤝 https://t.co/9HP4ijSu4v
ChelseaFC,1597288329279860736,2022-11-28 17:56:28+00:00,23150,2059,"180 minutes, 0 conceded, 6 points. 👏   #FIFAWorldCup https://t.co/aYqAaZ9DuC"
ChelseaFC,1597257323269222400,2022-11-28 15:53:16+00:00,16790,963,He's ready! 😎  #FIFAWorldCup https://t.co/dbWE9v2w5H
ChelseaFC,1597141654619684865,2022-11-28 08:13:38+00:00,12044,778,Back in action today! 🙋‍♂️  #FIFAWorldCup https://t.co/STcCc6IccG
ChelseaFC,1596930979037581312,2022-11-27 18:16:29+00:00,11830,783,The four-front of the midfield! 🇭🇷  #FIFAWorldCup https://t.co/4FCZBHgUCl
ChelseaFC,1596893692534530048,2022-11-27 15:48:19+00:00,36042,2505,A huge three points and an assist! 🇲🇦  #FIFAWorldCup https://t.co/lCPKHc7HKp
ChelseaFC,1596867947653656577,2022-11-27 14:06:01+00:00,31703,1648,"Close, Hakim! 👊  #FIFAWorldCup https://t.co/HRkvzH2d4W"
ChelseaFC,1596836453421846529,2022-11-27 12:00:52+00:00,19875,1076,All cameras facing Hakim later! 🎥  #FIFAWorldCup https://t.co/tde3pLu5Op
ChelseaFC,1596501395217293316,2022-11-26 13:49:28+00:00,4155,310,Learning the 🏴󠁧󠁢󠁳󠁣󠁴󠁿 lingo with @ErinCuthbert_! 🤓
ChelseaFC,1596468262048497665,2022-11-26 11:37:49+00:00,5882,401,Get up to 40% off at the Chelsea Megastore! 🛍
ChelseaFC,1596249815876505600,2022-11-25 21:09:47+00:00,16841,1092,Chelsea 🆚 Chelsea.  #FIFAWorldCup https://t.co/CyUtYrUlQd
