club,id,createdAt,favorites,retweets,text
LFC,1600090175085969409,2022-12-06 11:30:00+00:00,947,65,"#LFC has received an allocation of 1,800 for the @ChampionsLeague away fixture against Real Madrid:"
LFC,1600082626987048962,2022-12-06 11:00:01+00:00,1104,80,"A rampant European display from the Reds, #OnThisDay in 2017 🤩 https://t.co/XcnBEWmTAy"
LFC,1600052928496164868,2022-12-06 09:02:00+00:00,1730,119,A special night at Anfield as fans returned ✨   The highlights from our 4-0 win against Wolves #OnThisDay in 2020 🙌 https://t.co/kfFAozKf8l
LFC,1599870044972146688,2022-12-05 20:55:17+00:00,14618,893,Some BIG saves from @AlissonBecker as @CBF_Futebol progress to the #FIFAWorldCup quarter-finals ✊ https://t.co/dLBDng3IUr
LFC,1599861900367392769,2022-12-05 20:22:55+00:00,14882,1073,😍 @Alissonbecker   #FIFAWorldCup https://t.co/Pb3USGBBel
LFC,1599835781958275073,2022-12-05 18:39:08+00:00,14097,515,🤝 https://t.co/ZFxdYGNOYa
LFC,1599826844303253505,2022-12-05 18:03:37+00:00,1953,162,AB1 starts for @CBF_Futebol 🇧🇷 https://t.co/xOxZqPrU2y
LFC,1599811336656936966,2022-12-05 17:02:00+00:00,1017,71,"Here's your chance to win ALL of this with MyLFC 😱  Join MyLFC, your free official LFC account 👇"
LFC,1599781137772969986,2022-12-05 15:02:00+00:00,4849,346,"Looking to book a spot in the #FIFAWorldCup quarter-finals tonight 🇧🇷  Good luck, @_fabinhotavares and @Alissonbecker! https://t.co/nKettDyfbi"
LFC,1599765772666114049,2022-12-05 14:00:57+00:00,1701,138,Three of our @PremierLeague fixtures in February have been rescheduled ⤵
LFC,1599754209804460032,2022-12-05 13:15:00+00:00,5971,397,We have named an initial 33-man squad for our training camp in Dubai 👊🔴
LFC,1599713189528276993,2022-12-05 10:32:00+00:00,4954,270,"A clinical counter-attack finished off by Xherdan Shaqiri, #OnThisDay in 2018 👌 https://t.co/uIXUmcZhGX"
LFC,1599692607096901633,2022-12-05 09:10:13+00:00,5972,470,"#OnThisDay in 1999, Steven Gerrard’s first of 186 goals for the Reds 🤩 https://t.co/RevtdRrEXV"
LFC,1599508785298432000,2022-12-04 20:59:46+00:00,9015,541,A goal and a big performance from @JHenderson as England beat Senegal 3-0 to progress to the #FIFAWorldCup quarter-finals 👏 https://t.co/QjVfuXW5ym
LFC,1599493781732331520,2022-12-04 20:00:09+00:00,13553,997,A first #FIFAWorldCup goal for @JHenderson 👏⚽️ https://t.co/dLcEi5PFKw
LFC,1599489699810537474,2022-12-04 19:43:56+00:00,29017,2415,👏 @JHenderson 👏  Our skipper has opened the scoring for England against Senegal ⚽️ #FIFAWorldCup https://t.co/xhHB2BWluK
LFC,1599462186946027520,2022-12-04 17:54:36+00:00,6683,373,.@JHenderson starts for England against Senegal ⚽ #FIFAWorldCup https://t.co/HsMfbZ5TkF
LFC,1599451136133586945,2022-12-04 17:10:41+00:00,4485,271,A 3-1 win against Poland sees @equipedefrance and @IbrahimaKonate_ progress to the #FIFAWorldCup quarter-finals 🇫🇷 https://t.co/lZLVPAsYkH
LFC,1599395598788165632,2022-12-04 13:30:00+00:00,4429,312,"Also in #FIFAWorldCup action today ⚽   All the best, @JHenderson and @TrentAA 💪 https://t.co/5MhmSXbkAm"
LFC,1599373451596210177,2022-12-04 12:02:00+00:00,3671,264,A simply stunning performance from the Reds in a seven-goal thriller against Everton #OnThisDay 2019 🤩 https://t.co/YwotkRtiFL
LFC,1599361622874546176,2022-12-04 11:15:00+00:00,7527,364,"🇫🇷🆚🇵🇱   Good luck this afternoon, @IbrahimaKonate_ 👊 https://t.co/q3t29cTWiO"
LFC,1599352311540858881,2022-12-04 10:38:00+00:00,10181,912,Scintillating @LuisSuarez9 #OnThisDay in 2013 😱 https://t.co/ISeSRxEgkB
LFC,1599341490190303234,2022-12-04 09:55:00+00:00,4208,288,A dramatic late winner from Divock Origi #OnThisDay last year 😍 https://t.co/Id44p5LPqD
LFC,1599328907542626305,2022-12-04 09:05:00+00:00,21655,1308,"🎶 He's a lad from Portugal... 🎶  Wishing you a very happy birthday, @DiogoJota18 🥳 https://t.co/ECTLyuUtBA"
LFC,1599108707836522496,2022-12-03 18:30:00+00:00,4240,253,Getting set for tomorrow's #FIFAWorldCup last-16 match 💪 https://t.co/XytxdkhRAO
LFC,1599084507025461249,2022-12-03 16:53:50+00:00,15580,1122,A 3-1 win for @VirgilvDijk and @OnsOranje  🙌🇳🇱  #FIFAWorldCup https://t.co/GxKic7dqLr
LFC,1599069699437797377,2022-12-03 15:55:00+00:00,1222,100,"The latest edition of our eMag #WalkOn is here, with plenty to enjoy! 📲  ◾ @Alissonbecker interview ◾ @VirgilvDijk reaction to #UCL draw ◾ Story of the #UYL"
LFC,1599053140719902721,2022-12-03 14:49:12+00:00,6287,296,Final preparations for @VirgilvDijk ✅ https://t.co/54ncwJ0Lu7
LFC,1599043395846275072,2022-12-03 14:10:29+00:00,2163,136,.@VirgilvDijk starts for @OnsOranje 🇳🇱 https://t.co/BrNlfzzZjQ
LFC,1599030530414100482,2022-12-03 13:19:21+00:00,1424,66,Sunderland lead at the break.   #LFCU18s | #U18PL
LFC,1599021380711882752,2022-12-03 12:43:00+00:00,1098,68,We’re underway at the Academy! 🔴  #LFCU18s | #U18PL
LFC,1599017646015610880,2022-12-03 12:28:09+00:00,1601,82,Warm-ups ✅  #LFCU18s | #U18PL
LFC,1599004268379389955,2022-12-03 11:35:00+00:00,807,60,How #LFCU18s line-up to face Sunderland this afternoon 📋  Watch the match live on LFCTV GO from 12:00pm 📽
