club,id,createdAt,favorites,retweets,text
ManCity,1600092663696457728,2022-12-06 11:39:53+00:00,111,3,Tune in to our ePremier League Playoff event tomorrow! 🔜  🎮 @mancityesports 🕹 @RyanPessoa &amp; @Shellzz ⏰ 4pm (GMT) 🗓 7th December  Tap to find out more  👇
ManCity,1600058159909031938,2022-12-06 09:22:47+00:00,423,38,"💙 @losada_vicky met with our walking football team before the game on Sunday, two members of which played in our first ever Women's side! 🙌  Read more ⬇️"
ManCity,1599873651536715776,2022-12-05 21:09:37+00:00,9934,289,Ederson heads into the quarter-finals with Brazil! 🇧🇷🙌 https://t.co/PnzjWSbOO1
ManCity,1599825941697507333,2022-12-05 18:00:02+00:00,934,76,.@rubendias picks his top @premierleague Portuguese XI! 🇵🇹  What changes would you make? 🤔 https://t.co/KPJbK22YCH
ManCity,1599820737279557633,2022-12-05 17:39:21+00:00,47352,1835,Look who's back! 😏💥 https://t.co/yyACPn7mlx
ManCity,1599818506307915776,2022-12-05 17:30:29+00:00,6617,421,Feels like it's been ages since we've seen you! 🤗  Abu Dhabi bound ✈️ https://t.co/LHZTa5jWVC
ManCity,1599765546853081090,2022-12-05 14:00:03+00:00,1647,73,"Rearranged dates for our matches with Tottenham, Aston Villa and Bournemouth have been confirmed! ⤵️"
ManCity,1599765540838395904,2022-12-05 14:00:01+00:00,793,55,Let's take a look at @Laporte's best bits! 💥  What's your favourite moment from Aymeric's City career so far? 👇 https://t.co/Fgu6CrcydZ
ManCity,1599750440735866883,2022-12-05 13:00:01+00:00,4554,216,"If at first you don't succeed, try, try again! 🥰 https://t.co/pvuOdasgZH"
ManCity,1599742886307778560,2022-12-05 12:30:00+00:00,948,40,What a strike from Coombsy! 🌟 https://t.co/6SKguQq4d8
ManCity,1599740368563580928,2022-12-05 12:20:00+00:00,2118,86,It's a bird... It's a plane... It's Blakstad! 🚀 https://t.co/u2ixQ1rMDV
ManCity,1599737851897225216,2022-12-05 12:10:00+00:00,683,46,Great corner from @Chloe_Kelly98 to help put us ahead! 💥 https://t.co/RRpIvJXnSK
ManCity,1599735347700592640,2022-12-05 12:00:03+00:00,679,41,8️⃣ consecutive wins! 🤩  Here's all the action from yesterday's victory over Brighton ⤵️ https://t.co/6vMnQKBsKK
ManCity,1599734112234999809,2022-12-05 11:55:08+00:00,623,33,🔵🔴 𝗗𝗘𝗥𝗕𝗬 𝗪𝗘𝗘𝗞 🔵🔴  Here's what's in store for the week ahead! 🗓 👇
ManCity,1599722625424654336,2022-12-05 11:09:29+00:00,445,32,Last chance to vote for your #WaterHeroes and be in with the chance to win a signed Haaland shirt! 💧⚽️  @Xylem  Tap to Vote 👇
ManCity,1599698126318731265,2022-12-05 09:32:08+00:00,875,49,So many Manchester derby memories! 🤩  It's time to make some more. Join us at the Etihad 𝐭𝐡𝐢𝐬 𝐒𝐮𝐧𝐝𝐚𝐲! ⤵️
ManCity,1599690041600577536,2022-12-05 09:00:01+00:00,1734,131,"""And Rodri gives City the victory!"" 🤩  Some of the 𝒃𝒆𝒔𝒕 moments from our Spanish midfield maestro 🪄 https://t.co/Otha7QO4Fw"
ManCity,1599515670135582721,2022-12-04 21:27:07+00:00,17857,507,The lads! 💙 https://t.co/Wv5CFbKAla
ManCity,1599508301615493121,2022-12-04 20:57:51+00:00,4913,299,"Our English lads, @PhilFoden, @kylewalker2, @JackGrealish, @Kalvinphillips and John Stones are through to the quarter-finals of the World Cup! 🏴󠁧󠁢󠁥󠁮󠁧󠁿💪  Congrats! 👏 https://t.co/yKMn3QHMMR"
ManCity,1599504971560808448,2022-12-04 20:44:37+00:00,2699,127,🏴󠁧󠁢󠁥󠁮󠁧󠁿 @kylewalker2 💪 https://t.co/e2g7NcJFXg
ManCity,1599502443594686464,2022-12-04 20:34:34+00:00,9844,293,👏👏 https://t.co/bCtk3LS4wd
ManCity,1599498350386040832,2022-12-04 20:18:18+00:00,31242,1935,Phil Foden.
ManCity,1599488135871705093,2022-12-04 19:37:43+00:00,4150,135,Our number 5️⃣ https://t.co/2a9R2b9WA8
ManCity,1599484274465701888,2022-12-04 19:22:22+00:00,11292,382,One of our own 💙 https://t.co/xSmlOS9Wm6
ManCity,1599465911060434944,2022-12-04 18:09:24+00:00,6298,210,🦁🤩 https://t.co/bMprsQ7kck
ManCity,1599460753357955072,2022-12-04 17:48:54+00:00,1742,106,"🏴󠁧󠁢󠁥󠁮󠁧󠁿 @kylewalker2, John Stones and @PhilFoden start for England tonight! 💪 https://t.co/mEuSrWaqAY"
ManCity,1599440896377995266,2022-12-04 16:30:00+00:00,3269,108,Round of 16! 🔜🇪🇸 https://t.co/OSoqyrUEoN
ManCity,1599432484801761280,2022-12-04 15:56:35+00:00,1307,68,That's now 8️⃣ consecutive wins in all competitions! 🤩 https://t.co/hx4iySyXsH
ManCity,1599415847641960448,2022-12-04 14:50:28+00:00,866,45,"Goals from Kelly, Blakstad and Coombs give us the lead at the interval! 👏 https://t.co/O7L1C7GGAp"
ManCity,1599372957633101824,2022-12-04 12:00:02+00:00,851,56,"Just 𝗢𝗡𝗘 week to go! 💥  Over 40,000 tickets have already been snapped up. Will you be joining us? ⤵️"
ManCity,1599357857563959296,2022-12-04 11:00:02+00:00,2016,119,"#OnThisDay in 2021, this strike from @BernardoCSilva helped us to victory at Watford 🤌  We could watch this over and over again! 😍 https://t.co/gmtF4PrPBj"
