club,id,createdAt,favorites,retweets,text
Manchester United,1600075325718683648,2022-12-06 10:31:00+00:00,909,79,The #MUAcademy U18s will begin the defence of our #FAYouthCup away at Crystal Palace this weekend 🏆💪  #MUFC
Manchester United,1600054689625538560,2022-12-06 09:09:00+00:00,1901,140,Stand out this Christmas ⚪️🔥  #MUFC
Manchester United,1600033047050534914,2022-12-06 07:43:00+00:00,7811,528,A place in the last eight is up for grabs for our Portuguese Reds tonight! 🤞🇵🇹  #MUFC || #WorldCup https://t.co/BzG2WSNbCk
Manchester United,1599983470129790976,2022-12-06 04:26:00+00:00,3615,220,"Axel is working hard back at base, in a bid to return to fitness for the second half of the season 👊  #MUFC"
Manchester United,1599936158523334660,2022-12-06 01:18:00+00:00,2236,156,Who were @Casemiro's footballing idols growing up? 🦸‍♂️✨  #MUFC || #Melitta
Manchester United,1599884804203237376,2022-12-05 21:53:56+00:00,4937,497,🫶 Birthday at camp! 🇪🇸   #MUFC || @AnthonyMartial https://t.co/PjL9kkwweG https://t.co/1YR4CNCPel
Manchester United,1599876166487138304,2022-12-05 21:19:37+00:00,18564,957,Another. Big. Performance.  @Casemiro and @CBF_Futebol are through to the #WorldCup quarter-finals! 💪🇧🇷  #MUFC https://t.co/8iq8jKI8GF
Manchester United,1599853111195025408,2022-12-05 19:48:00+00:00,1421,107,"🔺 More training footage 🔺 @Casemiro's fans' Q&amp;A 🔺 Latest #WorldCup news  For all of the above and more, watch today's edition of United Daily 👇  #MUFC"
Manchester United,1599839270256013312,2022-12-05 18:53:00+00:00,1924,161,We wonder what @Casemiro might be listening to pre-game? 🤔🎶  #MUFC || #Melitta
Manchester United,1599830580090183683,2022-12-05 18:18:28+00:00,2688,236,"🇧🇷 @Casemiro starts for Brazil in their crucial last-16 meeting with South Korea, while @Fred08Oficial and @Antony00 are on the bench.  #MUFC || #WorldCup https://t.co/PQtUHgoCIl https://t.co/sXtdhxk0ij"
Manchester United,1599813821379805185,2022-12-05 17:11:52+00:00,8956,446,"Now you're speaking our language 😉  Bem-vindo, @ManUtd_PT! 🇵🇹🇧🇷  #MUFC https://t.co/4iFYlmdB6H https://t.co/nv5N5vSBXE"
Manchester United,1599802779727454212,2022-12-05 16:28:00+00:00,2876,180,Upping the intensity ⚡️  #MUFC
Manchester United,1599801521499246592,2022-12-05 16:23:00+00:00,4359,282,"Another good session in the bank — nice work, Reds! 🤜🤛  #MUFC https://t.co/y49zRNweys"
Manchester United,1599799005042671616,2022-12-05 16:13:00+00:00,4596,354,Keeping the levels high 🎚🔥  #MUFC https://t.co/LOhXF030FI
Manchester United,1599797746659078145,2022-12-05 16:08:00+00:00,6034,405,Going to work in the rain 💪🌧  #MUFC https://t.co/Th3HKu8RwN
Manchester United,1599796517455691777,2022-12-05 16:03:07+00:00,8041,647,Back to it 👊  #MUFC https://t.co/gHDgSUpy2k https://t.co/4ReHGgZiJL
Manchester United,1599785918604288000,2022-12-05 15:21:00+00:00,3158,190,💭 Dreaming of a United Christmas...  #MUFC
Manchester United,1599783969171587073,2022-12-05 15:13:15+00:00,1461,139,"The #MUTV app is now available on your Smart TV! 📺  ▪️ Watch both of our upcoming winter friendlies live ▪️ Access over 1,500 games and 2,100 goals on demand ▪️ Enjoy selected #MUAcademy and #MUWomen fixtures  #MUFC"
Manchester United,1599774845667086343,2022-12-05 14:37:00+00:00,7263,565,"🇧🇷 #WorldCup last-16 action awaits for our Brazilian contingent — go do the business, Reds! 💼👊  #MUFC https://t.co/LZHGdtoXt9"
Manchester United,1599766028468240391,2022-12-05 14:01:58+00:00,2511,234,🛣 Leeds (A) 🏡 Leicester (H) 🏡 Brentford (H)  Three of our #PL games in February have been rearranged ⬇️  #MUFC
Manchester United,1599746987900870656,2022-12-05 12:46:18+00:00,1467,97,Big love to Freddie and all those in his support network ❤️  #MUFC || #UnitedAndMe https://t.co/3WZGFdIRgZ
Manchester United,1599733825495523331,2022-12-05 11:54:00+00:00,3683,377,🧣 Stay warm 💬 Socialise ☕️ Enjoy hot refreshments  Our Red Cafe will be open from 17:00-20:00 GMT today for those in need ❤️  #MUFC
Manchester United,1599709005450022912,2022-12-05 10:15:22+00:00,4946,287,Session two = complete ✔️  #MUFC
Manchester United,1599707653168459776,2022-12-05 10:10:00+00:00,7172,553,Staying motivated in the Spanish sun 👊🇪🇸  #MUFC https://t.co/LajF5dIbw4
Manchester United,1599706395263262721,2022-12-05 10:05:00+00:00,6983,495,Limbering 🆙 for another tough session 💪  #MUFC https://t.co/pgi06DKi5T
Manchester United,1599705275023310848,2022-12-05 10:00:33+00:00,9575,488,"New surroundings, same goals 🧠  #MUFC https://t.co/0fSQFyfOMK"
Manchester United,1599680222021951489,2022-12-05 08:21:00+00:00,4118,278,Kickstarting our week in Spain — start as we mean to go on 👊  #MUFC || #MondayMotivation https://t.co/pZdRVcwNqB
Manchester United,1599653820241481730,2022-12-05 06:36:05+00:00,40950,3305,"Happy birthday to you, @AnthonyMartial! 🎈  #MUFC https://t.co/2QJpk75AP0"
Manchester United,1599604221325836291,2022-12-05 03:19:00+00:00,9544,588,Spoken like a true Red 💬  ❤️ @Casemiro   #MUFC || #Melitta https://t.co/sdVVX0PclQ
Manchester United,1599508173672808448,2022-12-04 20:57:20+00:00,5678,511,"✔️ #ThreeLions  ✔️ Three quarter-finalists   Well in, lads! 🙌  #MUFC || #WorldCup https://t.co/19Mm5nw9KF"
