club,id,createdAt,favorites,retweets,text
SpursOfficial,1600072926124212226,2022-12-06 10:21:28+00:00,1611,136,📅 #OnThisDay in 2020...  Sonny scored a worldie against the Gunners ✨ https://t.co/0YPuPe5sP1
SpursOfficial,1599870028823814167,2022-12-05 20:55:13+00:00,39891,3482,"Commiserations, Sonny 💙 https://t.co/TDc7lX29si"
SpursOfficial,1599869884409708544,2022-12-05 20:54:39+00:00,21236,696,Richarlison and Brazil progress to the quarter-finals 👏 https://t.co/u8FZANmTsX
SpursOfficial,1599851135044558850,2022-12-05 19:40:09+00:00,5308,252,A lightning fast start for the Seleção ⚡️ https://t.co/QJurGCr2P9
SpursOfficial,1599849297536815109,2022-12-05 19:32:50+00:00,37467,1422,A man on fire 🔥 https://t.co/mPeSe6BobC
SpursOfficial,1599848360764182542,2022-12-05 19:29:07+00:00,16955,680,WHAT A GOAL 🤩 https://t.co/GzO3yVYccz
SpursOfficial,1599826184346517526,2022-12-05 18:01:00+00:00,8774,907,"It's Richarlison against Sonny in the final game of the day! 🤩  Good luck, lads! 👏 https://t.co/ZuXnkt3zkh"
SpursOfficial,1599821618955530240,2022-12-05 17:42:51+00:00,6684,422,Ivan's into the quarter-final! 👊 https://t.co/rEFEfl0J7J
SpursOfficial,1599804793089925128,2022-12-05 16:36:00+00:00,1043,63,"We are delighted to announce that acclaimed rock band @ChiliPeppers will perform at @SpursStadium on Friday 21 July, 2023 🙌  Experience it in style ⤵️"
SpursOfficial,1599801861195694084,2022-12-05 16:24:21+00:00,5232,240,Croatia's ⭐️ https://t.co/CxW9jvzxSe
SpursOfficial,1599799226674081792,2022-12-05 16:13:53+00:00,11532,668,"WHAT A HEADER, IVAN!!! https://t.co/eiGYsb6zUf"
SpursOfficial,1599772621196775424,2022-12-05 14:28:09+00:00,844,36,Ivan starts for Croatia! 👏 https://t.co/iyf8yGPLd1
SpursOfficial,1599766019190423552,2022-12-05 14:01:55+00:00,763,56,"The Premier League broadcast selection process for February has now been completed, with all our three home fixtures rescheduled for television coverage ⤵️"
SpursOfficial,1599750438647119874,2022-12-05 13:00:01+00:00,3381,225,"Perišić and Croatia face up against the Blue Samurai! 🇭🇷  Good luck, Ivan! 🙌 https://t.co/dcHmKqdllo"
SpursOfficial,1599526710705328130,2022-12-04 22:11:00+00:00,8909,255,"It's all love 💙  Well played, Pape 🇸🇳 https://t.co/Nnj91bN8Aj"
SpursOfficial,1599520419463237634,2022-12-04 21:46:00+00:00,4070,151,"Quarter finals, here they come 👊  #FIFAWorldCup https://t.co/WW2C2ryUxi"
SpursOfficial,1599514756980903937,2022-12-04 21:23:30+00:00,38265,1597,POTM 👏 https://t.co/bqkzxTqsSW
SpursOfficial,1599502336807899136,2022-12-04 20:34:09+00:00,9880,230,Pape 💙 https://t.co/4IJasUezzW
SpursOfficial,1599494717036797958,2022-12-04 20:03:52+00:00,14497,1237,The most major tournament goals by any England player ever.  Harry Edward Kane 🦁 https://t.co/twjzueLM37
