Date,Energy Level,Hours of Sleep in Last 24 Hours,Number of Meals in Last 24 Hours,Overall Lower Body Soreness,Overall Upper Body Soreness
2022-08-29,5.0,7.0,5.0,5.0,3.0
2022-08-30,5.0,7.0,5.0,5.0,3.0
2022-08-31,5.0,7.0,4.5,6.0,4.0
2022-09-01,5.0,8.0,5.0,5.0,3.5
2022-09-02,4.5,7.0,4.0,5.0,5.0
2022-09-05,5.0,8.0,4.0,5.0,5.0
2022-09-06,5.0,7.0,4.0,5.0,4.0
2022-09-07,5.0,7.0,4.0,6.0,5.0
2022-09-08,5.0,7.0,4.0,5.0,5.0
2022-09-09,5.0,7.0,4.5,5.5,5.0
2022-09-12,5.0,7.0,5.0,5.0,5.0
2022-09-13,5.0,7.0,4.0,5.0,3.0
2022-09-14,5.0,7.0,4.5,6.0,5.0
2022-09-15,5.0,7.0,4.0,5.5,5.0
2022-09-16,5.0,6.0,4.0,5.0,5.0
2022-09-19,4.0,7.0,4.0,6.0,5.0
2022-09-20,5.0,7.0,4.0,4.0,3.0
2022-09-21,5.0,7.0,4.0,6.0,5.0
2022-09-22,5.0,6.0,4.0,5.0,5.0
2022-09-23,5.0,6.0,5.0,5.0,5.0
2022-09-24,5.5,7.0,5.0,4.5,4.5
2022-09-25,5.0,7.5,5.0,4.0,4.0
2022-09-26,5.0,7.0,4.5,5.0,4.0
2022-09-27,5.0,7.0,4.0,5.0,5.0
2022-09-28,5.0,7.0,4.0,6.0,5.0
2022-09-29,5.0,7.0,4.0,5.0,5.0
2022-09-30,5.0,7.0,4.0,6.0,5.0
2022-10-03,5.0,7.0,4.0,6.0,5.0
2022-10-04,5.0,7.0,4.0,4.0,5.0
2022-10-05,5.0,7.0,5.0,6.0,5.0
2022-10-06,5.0,6.5,4.0,6.0,5.0
2022-10-07,5.0,7.0,4.0,5.0,5.0
2022-10-10,5.0,7.0,4.0,6.0,5.0
2022-10-11,5.0,7.0,4.0,5.0,5.0
2022-10-12,5.0,7.0,4.0,6.0,5.0
2022-10-13,5.0,7.0,4.0,5.0,5.0
2022-10-14,5.0,7.0,4.0,5.0,5.0
2022-10-17,5.0,7.0,5.0,5.0,5.0
2022-10-18,5.0,6.0,4.0,5.0,5.0
2022-10-19,5.0,7.0,4.0,6.0,5.0
2022-10-20,5.0,6.0,4.0,5.5,5.0
2022-10-21,5.0,6.0,4.0,6.0,5.0
2022-10-24,5.0,7.0,4.0,6.0,5.0
2022-10-25,5.0,7.0,4.0,5.0,5.0
2022-10-26,5.0,7.0,4.0,5.0,5.0
2022-10-27,5.0,7.0,4.0,6.0,5.5
2022-10-28,5.0,7.0,4.0,5.0,5.0
2022-10-31,5.0,7.0,4.0,6.0,5.0
2022-11-02,5.0,7.0,4.5,6.0,5.0
2022-11-03,5.0,6.0,4.0,5.5,5.0
2022-11-04,5.0,7.0,4.0,5.0,4.0
2022-11-07,5.0,7.0,4.0,5.0,5.0
2022-11-08,5.0,7.0,4.0,5.0,5.0
2022-11-09,5.0,7.0,4.0,6.0,5.0
2022-11-10,5.0,6.0,4.0,6.0,5.0
2022-11-11,5.0,7.0,4.0,5.0,5.0
2022-11-14,5.0,8.0,4.0,5.0,5.0
2022-11-15,5.0,6.0,4.5,5.0,5.0
2022-11-16,5.0,7.0,4.0,5.0,5.0
2022-11-17,5.0,6.0,5.0,5.0,5.0
